image_path,snippet,highlight,similarity_score
C:\DataSet Creation\images_final\img_114.jpg,,Two matches are scheduled on Sunday for the Super 8 stage of the ICC Men’s T20 World Cup being played in India and Sri Lanka.,0.0
C:\DataSet Creation\images_final\img_115.jpg,,"India could be forced to leave Mumbai and travel to Colombo for the T20 World Cup 2026 semi-final if a blockbuster clash against Pakistan materialises. While the second semi-final is scheduled at Mumbai’s Wankhede Stadium, ICC’s hybrid venue agreement means any India vs Pakistan knockout match must be played at a neutral venue. If both teams qualify and meet in the last four, the game will shift to Colombo on March 4. If India face any other opponent, they will play in Mumbai on March 5.",0.0
C:\DataSet Creation\images_final\img_116.jpg,,"India's sports landscape is evolving rapidly, with fan excitement shifting across leagues, teams, and major events. YouGov’s Sports on the rise in 2025 (India) report highlights the brands that have seen the biggest year-on-year improvements in overall brand health and word-of-mouth exposure.",0.0
C:\DataSet Creation\images_final\img_117.jpg,,"For any other team in the T20 World Cup, the path to the knockouts is a straight line. For India, it is a complex logistical and geopolitical equation. Despite being the primary co-host, Team India still does not know if their potential semi-final will be played under the lights of the Wankhede Stadium in Mumbai or across the Palk Strait at the R. Premadasa Stadium in Colombo.",0.0
C:\DataSet Creation\images_final\img_118.jpg,,"The Men’s T20 World Cup and the BWF World Championships headline a packed 2026 Indian sports calendar that also features elite action in hockey, shooting, athletics and tennis.",0.0
C:\DataSet Creation\images_final\img_119.jpg,,"As the defending champions, India prepare to take on the runner-up of the 2024 T20 World Cup, South Africa, in their first Super 8 matchup at Ahemdabad this Sunday, former Indian cricketer Irfan Pathan has provided insights into the team's strengths and weaknesses.",0.0
C:\DataSet Creation\images_final\img_120.jpg,,3 days ago Jammu and Kashmir create history by entering maiden Ranji Trophy final; set to face Karnataka in Hubballi,0.0
C:\DataSet Creation\images_final\img_121.jpg,,"Bangladesh senior assistant coach Mohammad Salahuddin has slammed former sports advisor Asif Nazrul, claiming that two cricketers went into a mental coma after Bangladesh did not play in the T20 World Cup. Nazrul, who served under Bangladesh's former interim leader Muhammad Yunus, had stood firm on the country's decision not to play their matches on Indian soil, citing security concerns.",0.0
C:\DataSet Creation\images_final\img_122.jpg,,"Rivalry is often an overused, and misused, world in a sporting context. Two players or teams facing each other frequently or in high-profile contests doesn’t constitute a rivalry, especially if the match-up is a one-sided one.",0.0
C:\DataSet Creation\images_final\img_123.jpg,,"Former India cricketer Shikhar Dhawan married his long-time girlfriend Sophie Shine in a private wedding ceremony on Saturday, 21 February. The couple had been dating for over a year, and Dhawan went public about their relationship in May 2025. The pair were widely expected to marry after earlier announcing their engagement on Instagram on 12 January.",0.0
C:\DataSet Creation\images_final\img_124.jpg,,"DHAKA: Bangladesh was removed from the T20 World Cup by the International Cricket Council (ICC) following a dispute related to cricket with India. Meanwhile, elections were held in Bangladesh, and the Bangladesh Nationalist Party (BNP) came to power under the leadership of Tarique Rahman. The newly sworn-in Sports Minister, Aminul Haque, said the government is trying to resolve the issues with India through diplomatic talks. Aminul Haque is a former prominent footballer who has represented Bangladesh.",0.0
C:\DataSet Creation\images_final\img_125.jpg,,"India ’s move to strengthen sports governance through a new law is set to transform the management of sports federations, empower athletes and pave the way for more investments across different disciplines, according to analysts.",0.0
C:\DataSet Creation\images_final\img_126.jpg,,Active communities at the panchayat level can leverage national and international frameworks to boost India’s sports and physical activity ecosystem.,0.0
C:\DataSet Creation\images_final\img_127.jpg,,"India recently enacted the National Sports Governance Act, 2025 (“Act”), which seeks to bring about institutional reforms to address systemic gaps in sports administration in the country. Among other reforms, the Act envisions the establishment of a National Sports Tribunal (“NST”), with the intended objective to provide “speedy, effective, and cost-efficient disposal of sports related disputes.” Section 23 of the Act provides exclusive jurisdiction to the NST to adjudicate sports disputes in India. With this development, India has decided to adopt a centralised statutory adjudicatory tribunal as opposed to institutional arbitration for sports disputes, which has been an internationally preferred mechanism for resolution of such disputes. This post analyses the jurisdiction of the NST, its impact on the arbitrability of sports disputes in India, and its drawbacks when compared with institutional arbitration.",0.0
C:\DataSet Creation\images_final\img_128.jpg,,"From cricket to Coldplay, one executive is redefining how India consumes live entertainment.",0.0
C:\DataSet Creation\images_final\img_129.jpg,,Ellyse Perry has entered that rare territory occupied by the superstars of sport where a new record seems to tumble for every season they excel in their extraordinary careers.,0.0
C:\DataSet Creation\images_final\img_130.jpg,,A damning report claims the Hundred competition’s four India-owned franchises will not consider picking Pakistan players at next month’s auction.,0.0
C:\DataSet Creation\images_final\img_131.jpg,,"India will face-off against South Africa in the Super 8 stage of the ICC Men’s T20 World Cup in Ahmedabad on Sunday, February 22.",0.0
C:\DataSet Creation\images_final\img_132.jpg,,Kurnool: Leaders from various sports associations joined aspiring athletes in a protest outside Kurnool Outdoor Stadium on Saturday. They demanded immediate release of the admission notification for Sports Authority of India (SAI) Sports Hostel in Kurnool.,0.0
C:\DataSet Creation\images_final\img_133.jpg,,"India’s sports industry is undergoing a strategic transformation from a cricket-dominated entertainment sector to a multi-sport, digitally enabled economic engine. According to KPMG in India’s latest report titled - “Sportlight - The Business of Sports”, the sector is now estimated at USD 19 billion growing at a CAGR of 12–14 per cent and is projected to reach USD 40 billion by 2030.",0.0
C:\DataSet Creation\images_final\img_134.jpg,,"India intensified their preparations for their Super Eight clash against South Africa with a rigorous four-hour training session in Ahmedabad on Friday evening. Players showcased high energy and focus across batting, bowling, and fielding drills. Suryakumar Yadav and his teammates aimed for peak performance, with Jasprit Bumrah honing his yorkers and Hardik Pandya unleashing powerful sixes.",0.0
C:\DataSet Creation\images_final\img_135.jpg,,"India’s sports economy is no longer a peripheral story of cricket fandom — it’s emerging as a central narrative in the country’s economic transformation. According to Deloitte’s latest forecast, the sector is expected to more than double from $30 billion in 2023 to $70 billion by 2030. That trajectory not only eclipses markets like Brazil but edges India toward parity with the United Kingdom’s $40 billion sports ecosystem. If this forecast holds, sport could soon represent one of the fastest-growing segments of India’s non-technology economy — a cultural and commercial juggernaut reshaping how the world sees Indian soft power.",0.0
C:\DataSet Creation\images_final\img_136.jpg,,"For decades, India has wrestled with questions of identity, nation-building, and social justice through the prism of rights.",0.0
C:\DataSet Creation\images_final\img_137.jpg,,"IND vs SA T20 World Cup 2026 Ahmedabad Narendra Modi Stadium Pitch Report, Weather Forecast Update: India and South Africa, both unbeaten in this edition of the T20 World Cup thus far, will go head to head on Sunday at the Narendra Modi Stadium in a repeat of the 2024 edition’s final. The Men in Blue will be facing their first real test against the Proteas after coming through a group which consisted of USA, Namibia and Netherlands. The only big team they have faced is Pakistan who were no match for Suryakumar and Co, who swept the Men in Green aside by 61 runs.",0.0
C:\DataSet Creation\images_final\img_138.jpg,,The Indian sporting fraternity celebrated massive successes in 2025.,0.0
C:\DataSet Creation\images_final\img_139.jpg,,"Chuck Ramkissoon, the most interesting character in Joseph O’Neill’s award-winning novel Netherland, is a Trinidadian wheeler-dealer who has come to New York to make his fortune.",0.0
C:\DataSet Creation\images_final\img_140.jpg,,"The Archery Premier League has been recognised as the Emerging Professional Sports Event of the Year at the India Sports Awards 2025, presented by the Federation of Indian Chambers of Commerce and Industry.",0.0
C:\DataSet Creation\images_final\img_141.jpg,,Team India trains ahead of South Africa matche (PTI Photo/Gurinder Osan),0.0
C:\DataSet Creation\images_final\img_142.jpg,,"An Abhinav Bindra-led Task Force constituted by the Sports Ministry has identified deep “systemic deficits” in India’s sports administration, highlighting shortcomings such as the lack of a professional governance cadre and athletes being “inadequate and ill-equipped” for administrative roles. The panel has recommended the creation of an autonomous statutory body to train a specialised sports administration cadre, which would also include IAS and state cadre officers.",0.0
C:\DataSet Creation\images_final\img_143.jpg,,"Mumbai: Following the global rollout of dentsu Sports & Entertainment at Cannes in June 2025, dentsu has officially launched its Sports & Entertainment network in India, marking a significant step in the network’s global expansion. The move underscores dentsu’s belief in the power of sports and entertainment to connect brands with culture at scale. Yosuke Murai has been appointed Head of dentsu Sports & Entertainment India to lead the practice.",0.0
C:\DataSet Creation\images_final\img_144.jpg,,"KLE University’s sports arena is built into the Land, facing the City",0.0
C:\DataSet Creation\images_final\img_145.jpg,,"The Australia India Institute facilitated a roundtable discussion in Melbourne on 31 October 2025, in partnership with Global Victoria, Sports Tech World Series (STWS), and Victoria’s Commissioner to South Asia. The event was part of the Australia Sports Innovation Week (ASIW) 2025 and brought together leaders from government, academia, and industry to explore opportunities in sports innovation and technology, fostering collaboration and strengthening ties between Victoria and India.",0.0
C:\DataSet Creation\images_final\img_146.jpg,,"Dubai: The International Cricket Council (ICC) has named Daryl Mitchell, Joe Root, and Suryakumar Yadav as contenders for the Men’s Player of the Month for January. These players have been exceptional, making notable contributions with both bat and ball during a busy month of cricket.",0.0
C:\DataSet Creation\images_final\img_147.jpg,,"The Indian sports ecosystem is experiencing unprecedented growth as the nation establishes its identity beyond cricket. At the forefront of this transformation is the Dream Sports Foundation (DSF), an organisation dedicated to bridging critical gaps in India's sporting infrastructure.",0.0
C:\DataSet Creation\images_final\img_148.jpg,,The Khelo India Water Sports Festival 2025 will be held at Srinagar’s iconic Dal Lake from August 21 to 23.,0.0
C:\DataSet Creation\images_final\img_149.jpg,,"A packed stadium holds its breath. A javelin leaves an athlete’s hand and cuts through the air. Somewhere else, a cricket team lifts a trophy that once felt out of reach. On a kho kho court, bodies move in a blur as years of practice turn into seconds of glory.",0.0
